scode,sname,amccode
132185,Aditya Birla Sun Life Financial Planning Fund - Prudent Plan - Direct Plan - Growth Option,3
132175,Aditya Birla Sun Life Financial Planning Fund - Prudent Plan - Regular Plan - Dividend Option,3
132174,Aditya Birla Sun Life Financial Planning Fund - Prudent Plan - Regular Plan - Growth Option,3
101973,Aditya Birla Sun Life Floating Rate - Short Term - Daily Dividend,3
119513,Aditya Birla Sun Life Floating Rate - Short Term - Daily Dividend - Direct Plan,3
101976,Aditya Birla Sun Life Floating Rate - Short Term - Growth,3
119511,Aditya Birla Sun Life Floating Rate - Short Term - Growth - Direct Plan,3
101972,Aditya Birla Sun Life Floating Rate - Short Term - Retail Daily Dividend,3
101971,Aditya Birla Sun Life Floating Rate - Short Term - Retail Growth,3
101970,Aditya Birla Sun Life Floating Rate - Short Term - Retail Weekly Dividend,3
101974,Aditya Birla Sun Life Floating Rate - Short Term - Weekly Dividend,3
119512,Aditya Birla Sun Life Floating Rate - Short Term - Weekly Dividend - Direct Plan,3
122645,Aditya Birla Sun Life Floating Rate Fund-Long Term Plan-Direct Plan-Daily Dividend,3
122646,Aditya Birla Sun Life Floating Rate Fund-Long Term Plan-Direct Plan-Growth,3
122648,Aditya Birla Sun Life Floating Rate Fund-Long Term Plan-Direct Plan-Weekly Dividend,3
122643,Aditya Birla Sun Life Floating Rate Fund-Long Term Plan-Regular Plan-Daily Dividend,3
122644,Aditya Birla Sun Life Floating Rate Fund-Long Term Plan-Regular Plan-Growth,3
122647,Aditya Birla Sun Life Floating Rate Fund-Long Term Plan-Regular Plan-Weekly Dividend,3
122650,Aditya Birla Sun Life Floating Rate Fund-Long Term Plan-Retail Plan-Growth,3
122649,Aditya Birla Sun Life Floating Rate Fund-Long Term Plan-Retail Plan-Weekly Dividend,3
101975,Aditya Birla Sun Life Floating Rate Fund-Short Term Plan-Institutional Fortnightly Dividend,3
119527,Aditya Birla Sun Life Frontline Equity Fund - Dividend - Direct Plan,3
